,bacc,animal,genotype,condition,classifier,cell,trial,equal_bacc_sample,cell_trial,cond
0,0.5719424460431655,21,Tg,Veh,NN,25,600,True,c25_t600,Tg-Veh
0,0.707447774750227,22,Tg,Veh,NN,25,600,True,c25_t600,Tg-Veh
0,0.5,23,Tg,Veh,NN,25,600,True,c25_t600,Tg-Veh
0,0.6519554589896795,24,Tg,GluA2,NN,25,600,True,c25_t600,Tg-GluA2
0,0.7314148681055156,25,Tg,GluA2,NN,25,600,True,c25_t600,Tg-GluA2
0,0.8342021969838019,26,Tg,GluA2,NN,25,600,True,c25_t600,Tg-GluA2
0,0.7204145077720208,27,Tg,GluA2,NN,25,600,True,c25_t600,Tg-GluA2
0,0.8463078291814947,28,Tg,GluA2,NN,25,600,True,c25_t600,Tg-GluA2
0,0.8878494849695187,29,Tg,GluA2,NN,25,600,True,c25_t600,Tg-GluA2
0,0.9094202898550725,30,Tg,GluA2,NN,25,600,True,c25_t600,Tg-GluA2
0,0.9326683291770573,0,WT,Veh,SVM,25,600,True,c25_t600,WT-Veh
0,0.9302341789796487,1,WT,Veh,SVM,25,600,True,c25_t600,WT-Veh
0,0.6430205949656751,2,WT,Veh,SVM,25,600,True,c25_t600,WT-Veh
0,0.9494500527346693,3,WT,Veh,SVM,25,600,True,c25_t600,WT-Veh
0,0.8681196581196582,4,WT,Veh,SVM,25,600,True,c25_t600,WT-Veh
0,0.7677503736920778,5,WT,Veh,SVM,25,600,True,c25_t600,WT-Veh
0,0.9529342260732572,6,WT,Veh,SVM,25,600,True,c25_t600,WT-Veh
0,0.8299095133284422,7,WT,Veh,SVM,25,600,True,c25_t600,WT-Veh
0,0.7932083739045764,8,WT,Veh,SVM,25,600,True,c25_t600,WT-Veh
0,0.9257884972170687,9,WT,Veh,SVM,25,600,True,c25_t600,WT-Veh
0,0.8067226890756303,10,WT,GluA2,SVM,25,600,True,c25_t600,WT-GluA2
0,0.5063829787234042,11,WT,GluA2,SVM,25,600,True,c25_t600,WT-GluA2
0,0.9461874881156114,12,WT,GluA2,SVM,25,600,True,c25_t600,WT-GluA2
0,0.9561494551115723,13,WT,GluA2,SVM,25,600,True,c25_t600,WT-GluA2
0,0.8076439790575916,14,WT,GluA2,SVM,25,600,True,c25_t600,WT-GluA2
0,0.7954022988505747,15,WT,GluA2,SVM,25,600,True,c25_t600,WT-GluA2
0,0.7394313034725717,16,WT,GluA2,SVM,25,600,True,c25_t600,WT-GluA2
0,0.75,17,Tg,Veh,SVM,25,600,True,c25_t600,Tg-Veh
0,0.5166489550123982,18,Tg,Veh,SVM,25,600,True,c25_t600,Tg-Veh
0,0.8648989898989898,19,Tg,Veh,SVM,25,600,True,c25_t600,Tg-Veh
0,0.7851420247632921,20,Tg,Veh,SVM,25,600,True,c25_t600,Tg-Veh
0,0.5585817060637205,21,Tg,Veh,SVM,25,600,True,c25_t600,Tg-Veh
0,0.7055404178019982,22,Tg,Veh,SVM,25,600,True,c25_t600,Tg-Veh
0,0.5,23,Tg,Veh,SVM,25,600,True,c25_t600,Tg-Veh
0,0.574008690928843,24,Tg,GluA2,SVM,25,600,True,c25_t600,Tg-GluA2
0,0.723364165810209,25,Tg,GluA2,SVM,25,600,True,c25_t600,Tg-GluA2
0,0.8447216533234034,26,Tg,GluA2,SVM,25,600,True,c25_t600,Tg-GluA2
0,0.6933678756476684,27,Tg,GluA2,SVM,25,600,True,c25_t600,Tg-GluA2
0,0.8398576512455516,28,Tg,GluA2,SVM,25,600,True,c25_t600,Tg-GluA2
0,0.8890056758461216,29,Tg,GluA2,SVM,25,600,True,c25_t600,Tg-GluA2
0,0.8991901108269396,30,Tg,GluA2,SVM,25,600,True,c25_t600,Tg-GluA2
0,0.5653920753671378,0,WT,Veh,LDA,25,,True,c25,WT-Veh
0,0.6337468636743797,1,WT,Veh,LDA,25,,True,c25,WT-Veh
0,0.5175438596491229,2,WT,Veh,LDA,25,,True,c25,WT-Veh
0,0.6738737381346994,3,WT,Veh,LDA,25,,True,c25,WT-Veh
0,0.6995726495726495,4,WT,Veh,LDA,25,,True,c25,WT-Veh
0,0.625373692077728,5,WT,Veh,LDA,25,,True,c25,WT-Veh
0,0.5259944860181174,6,WT,Veh,LDA,25,,True,c25,WT-Veh
0,0.6685008559550012,7,WT,Veh,LDA,25,,True,c25,WT-Veh
0,0.6026046738072055,8,WT,Veh,LDA,25,,True,c25,WT-Veh
0,0.6081367611979857,9,WT,Veh,LDA,25,,True,c25,WT-Veh
0,0.6320728291316526,10,WT,GluA2,LDA,25,,True,c25,WT-GluA2
0,0.5,11,WT,GluA2,LDA,25,,True,c25,WT-GluA2
0,0.5671230271914812,12,WT,GluA2,LDA,25,,True,c25,WT-GluA2
0,0.523482096523093,13,WT,GluA2,LDA,25,,True,c25,WT-GluA2
0,0.7522513089005236,14,WT,GluA2,LDA,25,,True,c25,WT-GluA2
0,0.6691745036572623,15,WT,GluA2,LDA,25,,True,c25,WT-GluA2
0,0.6040513336688474,16,WT,GluA2,LDA,25,,True,c25,WT-GluA2
0,0.5,17,Tg,Veh,LDA,25,,True,c25,Tg-Veh
0,0.5,18,Tg,Veh,LDA,25,,True,c25,Tg-Veh
0,0.5025252525252525,19,Tg,Veh,LDA,25,,True,c25,Tg-Veh
0,0.5007283321194465,20,Tg,Veh,LDA,25,,True,c25,Tg-Veh
0,0.5020554984583762,21,Tg,Veh,LDA,25,,True,c25,Tg-Veh
0,0.6274296094459582,22,Tg,Veh,LDA,25,,True,c25,Tg-Veh
0,0.5,23,Tg,Veh,LDA,25,,True,c25,Tg-Veh
0,0.4997284084736556,24,Tg,GluA2,LDA,25,,True,c25,Tg-GluA2
0,0.5222678999657417,25,Tg,GluA2,LDA,25,,True,c25,Tg-GluA2
0,0.5186185067957549,26,Tg,GluA2,LDA,25,,True,c25,Tg-GluA2
0,0.686321243523316,27,Tg,GluA2,LDA,25,,True,c25,Tg-GluA2
0,0.5527135231316725,28,Tg,GluA2,LDA,25,,True,c25,Tg-GluA2
0,0.6408450704225352,29,Tg,GluA2,LDA,25,,True,c25,Tg-GluA2
0,0.5168371696504689,30,Tg,GluA2,LDA,25,,True,c25,Tg-GluA2
0,0.7348295926849542,0,WT,Veh,NB,25,,True,c25,WT-Veh
0,0.7078338444382493,1,WT,Veh,NB,25,,True,c25,WT-Veh
0,0.6693363844393592,2,WT,Veh,NB,25,,True,c25,WT-Veh
0,0.7337652553864698,3,WT,Veh,NB,25,,True,c25,WT-Veh
0,0.7007692307692308,4,WT,Veh,NB,25,,True,c25,WT-Veh
0,0.6230381165919283,5,WT,Veh,NB,25,,True,c25,WT-Veh
0,0.7453721937770776,6,WT,Veh,NB,25,,True,c25,WT-Veh
0,0.657128882367327,7,WT,Veh,NB,25,,True,c25,WT-Veh
0,0.6096640701071081,8,WT,Veh,NB,25,,True,c25,WT-Veh
0,0.7483434932414524,9,WT,Veh,NB,25,,True,c25,WT-Veh
0,0.6891456582633053,10,WT,GluA2,NB,25,,True,c25,WT-GluA2
0,0.6223404255319149,11,WT,GluA2,NB,25,,True,c25,WT-GluA2
0,0.6878684160486785,12,WT,GluA2,NB,25,,True,c25,WT-GluA2
0,0.7563570316554229,13,WT,GluA2,NB,25,,True,c25,WT-GluA2
0,0.7212565445026178,14,WT,GluA2,NB,25,,True,c25,WT-GluA2
0,0.6882967607105538,15,WT,GluA2,NB,25,,True,c25,WT-GluA2
0,0.6533719174635129,16,WT,GluA2,NB,25,,True,c25,WT-GluA2
0,0.85,17,Tg,Veh,NB,25,,True,c25,Tg-Veh
0,0.5899752036840241,18,Tg,Veh,NB,25,,True,c25,Tg-Veh
0,0.7569444444444444,19,Tg,Veh,NB,25,,True,c25,Tg-Veh
0,0.6493080844865258,20,Tg,Veh,NB,25,,True,c25,Tg-Veh
0,0.6438848920863309,21,Tg,Veh,NB,25,,True,c25,Tg-Veh
0,0.5970935513169846,22,Tg,Veh,NB,25,,True,c25,Tg-Veh
0,0.5566929133858268,23,Tg,Veh,NB,25,,True,c25,Tg-Veh
0,0.6880771319934817,24,Tg,GluA2,NB,25,,True,c25,Tg-GluA2
0,0.6798561151079137,25,Tg,GluA2,NB,25,,True,c25,Tg-GluA2
0,0.7240737292869112,26,Tg,GluA2,NB,25,,True,c25,Tg-GluA2
0,0.6890155440414507,27,Tg,GluA2,NB,25,,True,c25,Tg-GluA2
0,0.7201957295373665,28,Tg,GluA2,NB,25,,True,c25,Tg-GluA2
0,0.6864620559175951,29,Tg,GluA2,NB,25,,True,c25,Tg-GluA2
0,0.6091219096334186,30,Tg,GluA2,NB,25,,True,c25,Tg-GluA2
0,0.78539761706844,0,WT,Veh,QDA,25,,True,c25,WT-Veh
0,0.7612907722330639,1,WT,Veh,QDA,25,,True,c25,WT-Veh
0,0.6998474446987033,2,WT,Veh,QDA,25,,True,c25,WT-Veh
0,0.744086183516649,3,WT,Veh,QDA,25,,True,c25,WT-Veh
0,0.7113675213675215,4,WT,Veh,QDA,25,,True,c25,WT-Veh
0,0.6295777279521674,5,WT,Veh,QDA,25,,True,c25,WT-Veh
0,0.8213863725876329,6,WT,Veh,QDA,25,,True,c25,WT-Veh
0,0.6764490095377843,7,WT,Veh,QDA,25,,True,c25,WT-Veh
0,0.630111976630964,8,WT,Veh,QDA,25,,True,c25,WT-Veh
0,0.7761728067850517,9,WT,Veh,QDA,25,,True,c25,WT-Veh
0,0.7081932773109243,10,WT,GluA2,QDA,25,,True,c25,WT-GluA2
0,0.6829787234042553,11,WT,GluA2,QDA,25,,True,c25,WT-GluA2
0,0.7470051340559042,12,WT,GluA2,QDA,25,,True,c25,WT-GluA2
0,0.796574987026466,13,WT,GluA2,QDA,25,,True,c25,WT-GluA2
0,0.7354973821989529,14,WT,GluA2,QDA,25,,True,c25,WT-GluA2
0,0.7171368861024033,15,WT,GluA2,QDA,25,,True,c25,WT-GluA2
0,0.6741318570709612,16,WT,GluA2,QDA,25,,True,c25,WT-GluA2
0,0.7,17,Tg,Veh,QDA,25,,True,c25,Tg-Veh
0,0.5,18,Tg,Veh,QDA,25,,True,c25,Tg-Veh
0,0.8188131313131313,19,Tg,Veh,QDA,25,,True,c25,Tg-Veh
