animal,condition,genotype,bacc,classifier,full_cond,sc_type
15,GluA2,Tg,0.5545219878902439,LDA_full,Tg-GluA2,full
16,Veh,Tg,0.7217552584472068,LDA_full,Tg-Veh,full
17,Veh,WT,0.707136189162267,LDA_full,WT-Veh,full
18,GluA2,WT,0.6188196581066674,LDA_full,WT-GluA2,full
19,GluA2,WT,0.8124501607217124,LDA_full,WT-GluA2,full
20,Veh,WT,0.7273475231402087,LDA_full,WT-Veh,full
21,GluA2,WT,0.6752040809620511,LDA_full,WT-GluA2,full
22,Veh,WT,0.659856747346233,LDA_full,WT-Veh,full
23,GluA2,Tg,0.5853960041955463,LDA_full,Tg-GluA2,full
24,GluA2,Tg,0.6860717050801024,LDA_full,Tg-GluA2,full
25,GluA2,Tg,0.6912156188044823,LDA_full,Tg-GluA2,full
26,GluA2,Tg,0.7327904956771352,LDA_full,Tg-GluA2,full
27,Veh,WT,0.6710854068394315,LDA_full,WT-Veh,full
28,GluA2,WT,0.6951868664138284,LDA_full,WT-GluA2,full
29,GluA2,Tg,0.6564767452874869,LDA_full,Tg-GluA2,full
30,Veh,Tg,0.5,LDA_full,Tg-Veh,full
0,GluA2,WT,0.6355100238709802,LR_full,WT-GluA2,full
1,Veh,WT,0.6957009233396205,LR_full,WT-Veh,full
2,Veh,WT,0.7032275538039812,LR_full,WT-Veh,full
3,Veh,Tg,0.4998964874749845,LR_full,Tg-Veh,full
4,Veh,WT,0.5520481908201958,LR_full,WT-Veh,full
5,GluA2,WT,0.5019138625391203,LR_full,WT-GluA2,full
6,GluA2,WT,0.6528606311246462,LR_full,WT-GluA2,full
7,Veh,Tg,0.5,LR_full,Tg-Veh,full
8,Veh,Tg,0.8261071536258104,LR_full,Tg-Veh,full
9,Veh,WT,0.7523805524434937,LR_full,WT-Veh,full
10,Veh,WT,0.7710936294925188,LR_full,WT-Veh,full
11,Veh,WT,0.6877873753338725,LR_full,WT-Veh,full
12,Veh,Tg,0.6141937692175616,LR_full,Tg-Veh,full
13,Veh,Tg,0.5028242761744307,LR_full,Tg-Veh,full
14,GluA2,Tg,0.501105344124965,LR_full,Tg-GluA2,full
15,GluA2,Tg,0.6194640700898882,LR_full,Tg-GluA2,full
16,Veh,Tg,0.7229595984575372,LR_full,Tg-Veh,full
17,Veh,WT,0.7683303346998731,LR_full,WT-Veh,full
18,GluA2,WT,0.6278797581385855,LR_full,WT-GluA2,full
19,GluA2,WT,0.8220074083575291,LR_full,WT-GluA2,full
20,Veh,WT,0.7276861414324377,LR_full,WT-Veh,full
21,GluA2,WT,0.6813214870143953,LR_full,WT-GluA2,full
22,Veh,WT,0.6607692386599101,LR_full,WT-Veh,full
23,GluA2,Tg,0.5824884423465455,LR_full,Tg-GluA2,full
24,GluA2,Tg,0.6917034382962559,LR_full,Tg-GluA2,full
25,GluA2,Tg,0.708109334415553,LR_full,Tg-GluA2,full
26,GluA2,Tg,0.7347007497556901,LR_full,Tg-GluA2,full
27,Veh,WT,0.6817654925153585,LR_full,WT-Veh,full
28,GluA2,WT,0.6990111334406522,LR_full,WT-GluA2,full
29,GluA2,Tg,0.6709742351046699,LR_full,Tg-GluA2,full
