animal,name,cond,condition,genotype,should_include,bacc,classifier,model
20,NB_c25_t500,WT-Veh,Veh,WT,True,0.6236757338060103,NB,full
20,NN_c25_t500,WT-Veh,Veh,WT,True,0.6614001205838029,NN,full
20,QDA_c25_t500,WT-Veh,Veh,WT,True,0.6466628871251029,QDA,full
20,gSVM_c25_t500,WT-Veh,Veh,WT,True,0.6540864305749541,gSVM,full
21,LDA_c25_t500,WT-GluA2,GluA2,WT,True,0.6713855067075627,LDA,full
21,NB_c25_t500,WT-GluA2,GluA2,WT,True,0.6912256123837126,NB,full
21,NN_c25_t500,WT-GluA2,GluA2,WT,True,0.7200478528194859,NN,full
21,QDA_c25_t500,WT-GluA2,GluA2,WT,True,0.7162135341705934,QDA,full
21,gSVM_c25_t500,WT-GluA2,GluA2,WT,True,0.6933995311418865,gSVM,full
22,LDA_c25_t500,WT-Veh,Veh,WT,True,0.5826983572131594,LDA,full
22,NB_c25_t500,WT-Veh,Veh,WT,True,0.6084824934757233,NB,full
22,NN_c25_t500,WT-Veh,Veh,WT,True,0.6586863097238946,NN,full
22,QDA_c25_t500,WT-Veh,Veh,WT,True,0.6344116604251393,QDA,full
22,gSVM_c25_t500,WT-Veh,Veh,WT,True,0.655917207309715,gSVM,full
23,LDA_c25_t500,Tg-GluA2,GluA2,Tg,True,0.5323761874014016,LDA,full
23,NB_c25_t500,Tg-GluA2,GluA2,Tg,True,0.705826196710655,NB,full
23,NN_c25_t500,Tg-GluA2,GluA2,Tg,True,0.7352080113529504,NN,full
23,QDA_c25_t500,Tg-GluA2,GluA2,Tg,True,0.7055713099185332,QDA,full
23,gSVM_c25_t500,Tg-GluA2,GluA2,Tg,True,0.7159885499641557,gSVM,full
24,LDA_c25_t500,Tg-GluA2,GluA2,Tg,True,0.5650144623809087,LDA,full
24,NB_c25_t500,Tg-GluA2,GluA2,Tg,True,0.6302545797539544,NB,full
24,NN_c25_t500,Tg-GluA2,GluA2,Tg,True,0.6060037053312022,NN,full
24,QDA_c25_t500,Tg-GluA2,GluA2,Tg,True,0.6037255769258627,QDA,full
24,gSVM_c25_t500,Tg-GluA2,GluA2,Tg,True,0.6047759916428846,gSVM,full
25,LDA_c25_t500,Tg-GluA2,GluA2,Tg,True,0.6837754776312691,LDA,full
25,NB_c25_t500,Tg-GluA2,GluA2,Tg,True,0.6883672371263743,NB,full
25,NN_c25_t500,Tg-GluA2,GluA2,Tg,True,0.7882334709825011,NN,full
25,QDA_c25_t500,Tg-GluA2,GluA2,Tg,True,0.6869307954276089,QDA,full
25,gSVM_c25_t500,Tg-GluA2,GluA2,Tg,True,0.7787397048308942,gSVM,full
26,LDA_c25_t500,Tg-GluA2,GluA2,Tg,True,0.6553963892981266,LDA,full
26,NB_c25_t500,Tg-GluA2,GluA2,Tg,True,0.6617916116521365,NB,full
26,NN_c25_t500,Tg-GluA2,GluA2,Tg,True,0.703552099821894,NN,full
26,QDA_c25_t500,Tg-GluA2,GluA2,Tg,True,0.6846402487939278,QDA,full
